,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2018,ME,Final,"820,564","4,872,001","709,849",16.84,"556,411","4,447,245","96,065",12.51,"282,922","3,035,573","3,064",9.32,0,0,0,,,,,,"1,659,897","12,354,819","808,978",13.44
2018,MI,Final,"5,426,835","35,131,422","4,365,526",15.45,"4,339,291","38,925,268","543,258",11.15,"2,187,188","30,806,023","5,969",7.1,730,"6,783",2,10.76,,,,,"11,954,044","104,869,496","4,914,755",11.4
2018,MN,Final,"3,001,391","22,837,140","2,420,321",13.14,"2,429,217","23,398,557","295,849",10.38,"1,691,551","22,467,848","9,403",7.53,"2,475","25,832",1,9.58,,,,,"7,124,633","68,729,377","2,725,574",10.37
2018,MO,Final,"4,248,638","37,463,390","2,792,451",11.34,"2,931,288","31,179,283","384,490",9.4,"966,351","13,391,779","8,085",7.22,"2,008","23,575",2,8.52,,,,,"8,148,285","82,058,027","3,185,027",9.93
2018,MS,Final,"2,146,535","19,310,527","1,290,280",11.12,"1,515,723","14,530,226","236,870",10.43,"993,099","16,549,315","10,988",6,0,0,0,,,,,,"4,655,357","50,390,068","1,538,138",9.24
2018,MT,Final,"569,768","5,197,686","509,527",10.96,"497,390","4,921,231","108,694",10.11,"245,120","4,719,928","9,913",5.19,0,0,0,,,,,,"1,312,278","14,838,845","628,134",8.84
2018,NC,Final,"6,834,735","61,622,454","4,550,417",11.09,"4,228,751","49,298,402","691,668",8.58,"1,732,852","27,360,113","10,028",6.33,"1,042","12,988",1,8.02,,,,,"12,797,380","138,293,957","5,252,113",9.25
2018,ND,Final,"526,145","5,133,171","382,592",10.25,"621,753","6,835,913","75,147",9.1,"694,475","8,700,422","8,984",7.98,0,0,0,,,,,,"1,842,373","20,669,506","466,723",8.91
2018,NE,Final,"1,114,442","10,412,008","849,891",10.7,"843,309","9,553,396","153,745",8.83,"833,976","10,974,088","61,963",7.6,0,0,0,,,,,,"2,791,727","30,939,492","1,065,599",9.02
2018,NH,Final,"913,613","4,641,013","622,670",19.69,"702,541","4,442,560","107,804",15.81,"263,361","1,962,711","3,175",13.42,0,0,0,,,,,,"1,879,514","11,046,284","733,650",17.01
2018,NJ,Final,"4,550,431","29,530,689","3,568,043",15.41,"4,736,982","38,807,065","521,429",12.21,"741,934","7,369,106","11,876",10.07,"28,094","309,902",6,9.07,,,,,"10,057,440","76,016,762","4,101,354",13.23
2018,NM,Final,"865,755","6,826,442","889,838",12.68,"905,498","9,035,272","143,873",10.02,"478,397","8,186,897","9,359",5.84,0,0,0,,,,,,"2,249,649","24,048,611","1,043,071",9.35
2018,NV,Final,"1,593,360","13,449,743","1,183,659",11.85,"938,631","12,123,896","164,983",7.74,"744,443","12,198,273","3,445",6.1,694,"8,351",1,8.31,,,,,"3,277,128","37,780,263","1,352,087",8.67
2018,NY,Final,"9,658,622","52,153,246","7,190,903",18.52,"11,128,003","76,745,463","1,106,644",14.5,"1,087,828","18,076,792","6,882",6.02,"358,602","2,954,350",8,12.14,,,,,"22,233,054","149,929,851","8,304,437",14.83
2018,OH,Final,"6,839,823","54,451,714","4,964,849",12.56,"4,768,817","47,191,540","630,204",10.11,"3,591,707","51,235,995","18,716",7.01,"2,632","35,918",2,7.33,,,,,"15,202,980","152,915,167","5,613,770",9.94
2018,OK,Final,"2,484,031","24,116,808","1,764,979",10.3,"1,712,885","21,229,143","282,873",8.07,"1,027,324","19,229,365","18,700",5.34,0,0,0,,,,,,"5,224,240","64,575,316","2,066,552",8.09
